chunk_seconds,chunk_steps,stride,vocab_size,scale,total_chunks,avg_naive_tokens,avg_fast_tokens,avg_custom_tokens,compression_fast,compression_custom,generalization_ratio
1.0,10,10,1024,8.0,3488,70.0,27.081422018348626,19.247993119266056,2.584797798009739,3.6367427796892917,0.7107452890112217
1.0,10,10,1024,10.0,3488,70.0,27.081422018348626,32.05590596330275,2.584797798009739,2.1836849683841484,1.1836862163878887
1.0,10,10,1024,12.0,3488,70.0,27.081422018348626,22.904816513761467,2.584797798009739,3.0561257697892157,0.8457759898369679
1.0,10,10,2048,8.0,3488,70.0,27.081422018348626,16.99827981651376,2.584797798009739,4.118063754427391,0.6276730891382595
1.0,10,10,2048,10.0,3488,70.0,27.081422018348626,30.663130733944953,2.584797798009739,2.2828719157012896,1.132257040016938
1.0,10,10,2048,12.0,3488,70.0,27.081422018348626,20.568807339449542,2.584797798009739,3.4032114183764497,0.7595172559813677
1.0,10,10,4096,8.0,3488,70.0,27.081422018348626,15.049885321100918,2.584797798009739,4.651198232178915,0.5557272919754394
1.0,10,10,4096,10.0,3488,70.0,27.081422018348626,29.874713302752294,2.584797798009739,2.3431187201903976,1.1031441880160913
1.0,10,10,4096,12.0,3488,70.0,27.081422018348626,18.425172018348626,2.584797798009739,3.7991504193442975,0.6803620580139742
1.0,10,5,1024,8.0,6182,70.0,26.938207699773535,19.11387900355872,2.5985396200129705,3.662260286725005,0.7095453126125909
1.0,10,5,1024,10.0,6182,70.0,26.938207699773535,31.873827240375284,2.5985396200129705,2.1961592334706967,1.1832200417937695
1.0,10,5,1024,12.0,6182,70.0,26.938207699773535,23.272241992882563,2.5985396200129705,3.007875219818029,0.8639120409290707
1.0,10,5,2048,8.0,6182,70.0,26.938207699773535,16.940148819152377,2.5985396200129705,4.1321951033192015,0.6288521125069055
1.0,10,5,2048,10.0,6182,70.0,26.938207699773535,30.56146878032999,2.5985396200129705,2.290465831441108,1.1345026781639564
1.0,10,5,2048,12.0,6182,70.0,26.938207699773535,20.843416370106763,2.5985396200129705,3.3583745945023047,0.7737491893449908
1.0,10,5,4096,8.0,6182,70.0,26.938207699773535,15.142510514396635,2.5985396200129705,4.622747326703059,0.5621201931160377
1.0,10,5,4096,10.0,6182,70.0,26.938207699773535,29.630378518278874,2.5985396200129705,2.3624402893407943,1.0999387505104123
1.0,10,5,4096,12.0,6182,70.0,26.938207699773535,18.720317049498544,2.5985396200129705,3.7392529098151717,0.6949355078903754
1.0,10,2,1024,8.0,14311,70.0,26.85493676193138,19.039410243868353,2.606597089412236,3.6765844689198564,0.7089724475113252
1.0,10,2,1024,10.0,14311,70.0,26.85493676193138,31.810565299420027,2.606597089412236,2.2005267539610887,1.1845332417432304
1.0,10,2,1024,12.0,14311,70.0,26.85493676193138,23.008524910907692,2.606597089412236,3.0423506187836917,0.856770772349156
1.0,10,2,2048,8.0,14311,70.0,26.85493676193138,16.94402906854867,2.606597089412236,4.1312488143645405,0.6309465264713612
1.0,10,2,2048,10.0,14311,70.0,26.85493676193138,30.55956956187548,2.606597089412236,2.2906081794858895,1.1379497867667914
1.0,10,2,2048,12.0,14311,70.0,26.85493676193138,20.69918244706869,2.606597089412236,3.3817760763741194,0.7707775531391728
1.0,10,2,4096,8.0,14311,70.0,26.85493676193138,15.23534344210747,2.606597089412236,4.594579719583733,0.5673200267484733
1.0,10,2,4096,10.0,14311,70.0,26.85493676193138,29.698623436517366,2.606597089412236,2.3570116018888654,1.105890648702517
1.0,10,2,4096,12.0,14311,70.0,26.85493676193138,18.79120955908043,2.606597089412236,3.7251460466084834,0.6997301734747776
1.0,10,1,1024,8.0,27829,70.0,26.820870315138883,19.04725286571562,2.6099078507713043,3.6750706515792375,0.7101653541408203
1.0,10,1,1024,10.0,27829,70.0,26.820870315138883,31.790326637680117,2.6099078507713043,2.2019276743457903,1.1852831867180778
1.0,10,1,1024,12.0,27829,70.0,26.820870315138883,22.999712530094506,2.6099078507713043,3.0435163008410164,0.8575304328253827
1.0,10,1,2048,8.0,27829,70.0,26.820870315138883,16.956160839412124,2.6099078507713043,4.128292994089511,0.6322002470531808
1.0,10,1,2048,10.0,27829,70.0,26.820870315138883,30.552050019763556,2.6099078507713043,2.291171949336241,1.1391147886248354
1.0,10,1,2048,12.0,27829,70.0,26.820870315138883,20.710302202738152,2.6099078507713043,3.379960336394568,0.7721711472967505
1.0,10,1,4096,8.0,27829,70.0,26.820870315138883,15.26220848754896,2.6099078507713043,4.58649218801503,0.5690422535966068
1.0,10,1,4096,10.0,27829,70.0,26.820870315138883,29.7186028962593,2.6099078507713043,2.3554270113017646,1.108040214470028
1.0,10,1,4096,12.0,27829,70.0,26.820870315138883,18.840993208523482,2.6099078507713043,3.7153030748046065,0.7024750870179179
2.0,20,10,1024,8.0,1910,140.0,50.52565445026178,37.81832460732984,2.7708696012600513,3.701909099718965,0.7484974716073944
2.0,20,10,1024,10.0,1910,140.0,50.52565445026178,46.412565445026175,2.7708696012600513,3.016424510423247,0.9185940479151123
2.0,20,10,1024,12.0,1910,140.0,50.52565445026178,49.22984293193717,2.7708696012600513,2.8438035074285595,0.9743533946779407
2.0,20,10,2048,8.0,1910,140.0,50.52565445026178,33.48638743455497,2.7708696012600513,4.180803327131444,0.6627600928458923
2.0,20,10,2048,10.0,1910,140.0,50.52565445026178,42.405235602094244,2.7708696012600513,3.3014791219102646,0.8392812733150958
2.0,20,10,2048,12.0,1910,140.0,50.52565445026178,45.22460732984293,2.7708696012600513,3.0956598247259173,0.8950820691370306
2.0,20,10,4096,8.0,1910,140.0,50.52565445026178,29.657068062827225,2.7708696012600513,4.720628475593609,0.5869704882699163
2.0,20,10,4096,10.0,1910,140.0,50.52565445026178,38.98586387434555,2.7708696012600513,3.5910452170876814,0.7716053220591892
2.0,20,10,4096,12.0,1910,140.0,50.52565445026178,41.86596858638743,2.7708696012600513,3.3440048021609727,0.8286081405952084
2.0,20,5,1024,8.0,3218,140.0,50.36855189558732,37.80950901180858,2.779512110854731,3.702772230030163,0.7506570585985218
2.0,20,5,1024,10.0,3218,140.0,50.36855189558732,46.13952765692977,2.779512110854731,3.0342746688039224,0.9160383993682365
2.0,20,5,1024,12.0,3218,140.0,50.36855189558732,49.111870727159726,2.779512110854731,2.8506346414244317,0.9750502819490886
2.0,20,5,2048,8.0,3218,140.0,50.36855189558732,33.58607830950901,2.779512110854731,4.168393782383419,0.666806510124255
2.0,20,5,2048,10.0,3218,140.0,50.36855189558732,42.24580484773151,2.779512110854731,3.313938520158591,0.8387337586219661
2.0,20,5,2048,12.0,3218,140.0,50.36855189558732,45.23958980733375,2.779512110854731,3.094634602042849,0.8981713411398886
2.0,20,5,4096,8.0,3218,140.0,50.36855189558732,29.957426973275325,2.779512110854731,4.673298548800349,0.594764507730464
2.0,20,5,4096,10.0,3218,140.0,50.36855189558732,39.00683654443754,2.779512110854731,3.589114432299799,0.7744283898671076
2.0,20,5,4096,12.0,3218,140.0,50.36855189558732,42.075512740832814,2.779512110854731,3.3273510144092646,0.8353528373826239
2.0,20,2,1024,8.0,7231,140.0,50.278799612778315,37.739870004148806,2.784473795679464,3.7096047226609303,0.7506119934207269
2.0,20,2,1024,10.0,7231,140.0,50.278799612778315,46.06361499101092,2.784473795679464,3.0392751421554793,0.9161637776909831
2.0,20,2,1024,12.0,7231,140.0,50.278799612778315,49.11326234269119,2.784473795679464,2.8505538692001418,0.976818514382533
2.0,20,2,2048,8.0,7231,140.0,50.278799612778315,33.57419444060296,2.784473795679464,4.1698692204716306,0.667760461649329
2.0,20,2,2048,10.0,7231,140.0,50.278799612778315,42.223897109666716,2.784473795679464,3.3156579468821334,0.8397952503809488
2.0,20,2,2048,12.0,7231,140.0,50.278799612778315,45.29760752316415,2.784473795679464,3.0906709571450817,0.900928579680168
2.0,20,2,4096,8.0,7231,140.0,50.278799612778315,30.10911353892961,2.784473795679464,4.649754959374239,0.598843126144909
2.0,20,2,4096,10.0,7231,140.0,50.278799612778315,39.186696169271194,2.784473795679464,3.5726410666327872,0.7793880615899177
2.0,20,2,4096,12.0,7231,140.0,50.278799612778315,42.25681095284193,2.784473795679464,3.313075379877536,0.8404498770512093
2.0,20,1,1024,8.0,13926,140.0,50.22734453540141,37.752477380439466,2.7873263318016885,3.7083659064063865,0.7516319592374754
2.0,20,1,1024,10.0,13926,140.0,50.22734453540141,46.06326296136723,2.7873263318016885,3.039298369232256,0.9170953270066022
2.0,20,1,1024,12.0,13926,140.0,50.22734453540141,49.14103116472785,2.7873263318016885,2.8489430661456763,0.9783720724095238
2.0,20,1,2048,8.0,13926,140.0,50.22734453540141,33.63349131121643,2.7873263318016885,4.1625176139032405,0.669625114015549
2.0,20,1,2048,10.0,13926,140.0,50.22734453540141,42.24709177078845,2.7873263318016885,3.3138375715793607,0.8411173666768649
2.0,20,1,2048,12.0,13926,140.0,50.22734453540141,45.389487289961224,2.7873263318016885,3.0844146598448963,0.9036808079306213
2.0,20,1,4096,8.0,13926,140.0,50.22734453540141,30.22870888984633,2.7873263318016885,4.63135890157139,0.6018376876074033
2.0,20,1,4096,10.0,13926,140.0,50.22734453540141,39.24917420652018,2.7873263318016885,3.566954027194356,0.7814304054807525
2.0,20,1,4096,12.0,13926,140.0,50.22734453540141,42.4232371104409,2.7873263318016885,3.3000782009052347,0.8446243277014179
